,Time,Weight
0.01,0.01,4.55
0.02,0.02,4.55
0.03,0.03,4.55
0.04,0.04,4.55
0.05,0.05,4.55
0.06,0.06,4.55
0.07,0.07,4.55
0.08,0.08,4.55
0.09,0.09,4.55
0.1,0.1,4.55
0.11,0.11,4.55
0.12,0.12,4.55
0.13,0.13,4.55
0.14,0.14,4.55
0.15,0.15,4.55
0.16,0.16,4.55
0.17,0.17,4.55
0.18,0.18,4.55
0.19,0.19,4.55
0.2,0.2,4.55
0.21,0.21,4.55
0.22,0.22,4.55
0.23,0.23,4.55
0.24,0.24,4.55
0.25,0.25,4.55
0.26,0.26,4.55
0.27,0.27,4.55
0.28,0.28,4.55
0.29,0.29,4.55
0.3,0.3,4.55
0.31,0.31,4.55
0.32,0.32,4.55
0.33,0.33,4.55
0.34,0.34,4.55
0.35,0.35,4.55
0.36,0.36,4.55
0.37,0.37,4.55
0.38,0.38,4.55
0.39,0.39,4.55
0.4,0.4,4.55
0.41,0.41,4.55
0.42,0.42,4.55
0.43,0.43,4.55
0.44,0.44,4.55
0.45,0.45,4.55
0.46,0.46,4.55
0.47,0.47,4.55
0.48,0.48,4.55
0.49,0.49,4.55
0.5,0.5,4.55
0.51,0.51,4.55
0.52,0.52,4.55
0.53,0.53,4.55
0.54,0.54,4.55
0.55,0.55,4.55
0.56,0.56,4.55
0.57,0.57,4.55
0.58,0.58,4.55
0.59,0.59,4.55
0.6,0.6,4.55
0.61,0.61,4.55
0.62,0.62,4.55
0.63,0.63,4.55
0.64,0.64,4.55
0.65,0.65,4.55
0.66,0.66,4.55
0.67,0.67,4.55
0.68,0.68,4.55
0.69,0.69,4.55
0.7,0.7,4.55
0.71,0.71,4.55
0.72,0.72,4.55
0.73,0.73,4.55
0.74,0.74,4.55
0.75,0.75,4.55
0.76,0.76,4.55
0.77,0.77,4.55
0.78,0.78,4.55
0.79,0.79,4.55
0.8,0.8,4.55
0.81,0.81,4.55
0.82,0.82,4.55
0.83,0.83,4.55
0.84,0.84,4.55
0.85,0.85,4.55
0.86,0.86,4.55
0.87,0.87,4.55
0.88,0.88,4.55
0.89,0.89,4.55
0.9,0.9,4.55
0.91,0.91,4.55
0.92,0.92,4.55
0.93,0.93,4.55
0.94,0.94,4.55
0.95,0.95,4.55
0.96,0.96,4.55
0.97,0.97,4.55
0.98,0.98,4.55
0.99,0.99,4.55
1.0,1.0,4.55
1.01,1.01,4.55
1.02,1.02,4.55
1.03,1.03,4.55
1.04,1.04,4.55
1.05,1.05,4.55
1.06,1.06,4.55
1.07,1.07,4.55
1.08,1.08,4.55
1.09,1.09,4.55
1.1,1.1,4.55
1.11,1.11,4.55
1.12,1.12,4.55
1.13,1.13,4.55
1.14,1.14,4.55
1.15,1.15,4.55
1.16,1.16,4.55
1.17,1.17,4.55
1.18,1.18,4.55
1.19,1.19,4.55
1.2,1.2,4.55
1.21,1.21,4.55
1.22,1.22,4.55
1.23,1.23,4.55
1.24,1.24,4.55
1.25,1.25,4.55
1.26,1.26,4.55
1.27,1.27,4.55
1.28,1.28,4.55
1.29,1.29,4.55
1.3,1.3,4.55
1.31,1.31,4.55
1.32,1.32,4.55
1.33,1.33,4.55
1.34,1.34,4.55
1.35,1.35,4.55
1.36,1.36,4.55
1.37,1.37,4.55
1.38,1.38,4.55
1.39,1.39,4.55
1.4,1.4,4.55
1.41,1.41,4.55
1.42,1.42,4.55
1.43,1.43,4.55
1.44,1.44,4.55
1.45,1.45,4.55
1.46,1.46,4.55
1.47,1.47,4.55
1.48,1.48,4.55
1.49,1.49,4.55
1.5,1.5,4.55
1.51,1.51,4.55
1.52,1.52,4.55
1.53,1.53,4.55
1.54,1.54,4.55
1.55,1.55,4.55
1.56,1.56,4.55
1.57,1.57,4.55
1.58,1.58,4.55
1.59,1.59,4.55
1.6,1.6,4.55
1.61,1.61,4.55
1.62,1.62,4.55
1.63,1.63,4.55
1.64,1.64,4.55
1.65,1.65,4.55
1.66,1.66,4.55
1.67,1.67,4.55
1.68,1.68,4.55
1.69,1.69,4.55
1.7,1.7,4.55
1.71,1.71,4.55
1.72,1.72,4.55
1.73,1.73,4.55
1.74,1.74,4.55
1.75,1.75,4.55
1.76,1.76,4.55
1.77,1.77,4.55
1.78,1.78,4.55
1.79,1.79,4.55
1.8,1.8,4.55
1.81,1.81,4.55
1.82,1.82,4.55
1.83,1.83,4.55
1.84,1.84,4.55
1.85,1.85,4.55
1.86,1.86,4.55
1.87,1.87,4.55
1.88,1.88,4.55
1.89,1.89,4.55
1.9,1.9,4.55
1.91,1.91,4.55
1.92,1.92,4.55
1.93,1.93,4.55
1.94,1.94,4.55
1.95,1.95,4.55
1.96,1.96,4.55
1.97,1.97,4.55
1.98,1.98,4.55
1.99,1.99,4.55
2.0,2.0,4.55
2.01,2.01,4.55
2.02,2.02,4.55
2.03,2.03,4.55
2.04,2.04,4.55
2.05,2.05,4.55
2.06,2.06,4.55
2.07,2.07,4.55
2.08,2.08,4.55
2.09,2.09,4.55
2.1,2.1,4.55
2.11,2.11,4.55
2.12,2.12,4.55
2.13,2.13,4.55
2.14,2.14,4.55
2.15,2.15,4.55
2.16,2.16,4.55
2.17,2.17,4.55
2.18,2.18,4.55
2.19,2.19,4.55
2.2,2.2,4.55
2.21,2.21,4.55
2.22,2.22,4.55
2.23,2.23,4.55
2.24,2.24,4.55
2.25,2.25,4.55
2.26,2.26,4.55
2.27,2.27,4.55
2.28,2.28,4.55
2.29,2.29,4.55
2.3,2.3,4.55
2.31,2.31,4.55
2.32,2.32,4.55
2.33,2.33,4.55
2.34,2.34,4.55
2.35,2.35,4.55
2.36,2.36,4.55
2.37,2.37,4.55
2.38,2.38,4.55
2.39,2.39,4.55
2.4,2.4,4.55
2.41,2.41,4.55
2.42,2.42,4.55
2.43,2.43,4.55
2.44,2.44,4.55
2.45,2.45,4.55
2.46,2.46,4.55
2.47,2.47,4.55
2.48,2.48,4.55
2.49,2.49,4.55
2.5,2.5,4.55
2.51,2.51,4.55
2.52,2.52,4.55
2.53,2.53,4.55
2.54,2.54,4.55
2.55,2.55,4.55
2.56,2.56,4.55
2.57,2.57,4.55
2.58,2.58,4.55
2.59,2.59,4.55
2.6,2.6,4.55
2.61,2.61,4.55
2.62,2.62,4.55
2.63,2.63,4.55
2.64,2.64,4.55
2.65,2.65,4.55
2.66,2.66,4.55
2.67,2.67,4.55
2.68,2.68,4.55
2.69,2.69,4.55
2.7,2.7,4.55
2.71,2.71,4.55
2.72,2.72,4.55
2.73,2.73,4.55
2.74,2.74,4.55
2.75,2.75,4.55
2.76,2.76,4.55
2.77,2.77,4.55
2.78,2.78,4.55
2.79,2.79,4.55
2.8,2.8,4.55
2.81,2.81,4.55
2.82,2.82,4.55
2.83,2.83,4.55
2.84,2.84,4.55
2.85,2.85,4.55
2.86,2.86,4.55
2.87,2.87,4.55
2.88,2.88,4.55
2.89,2.89,4.55
2.9,2.9,4.55
2.91,2.91,4.55
2.92,2.92,4.55
2.93,2.93,4.55
2.94,2.94,4.55
2.95,2.95,4.55
2.96,2.96,4.55
2.97,2.97,4.55
2.98,2.98,4.55
2.99,2.99,4.55
3.0,3.0,4.55
3.01,3.01,4.55
3.02,3.02,4.55
3.03,3.03,4.55
3.04,3.04,4.55
3.05,3.05,4.55
3.06,3.06,4.55
3.07,3.07,4.55
3.08,3.08,4.55
3.09,3.09,4.55
3.1,3.1,4.55
3.11,3.11,4.55
3.12,3.12,4.55
3.13,3.13,4.55
3.14,3.14,4.55
3.15,3.15,4.55
3.16,3.16,4.55
3.17,3.17,4.55
3.18,3.18,4.55
3.19,3.19,4.55
3.2,3.2,4.55
3.21,3.21,4.55
3.22,3.22,4.55
3.23,3.23,4.55
3.24,3.24,4.55
3.25,3.25,4.55
3.26,3.26,4.55
3.27,3.27,4.55
3.28,3.28,4.55
